County,Precinct,First Expression,Final Expression,SDE
,Sheridan-Grant-Jasper,0,0,0
,Total,74,73,1.3200
Cass,Atlantic 3,2,0,0
,Noble- Pleasant Twp/Griswold,6,0,0
,Brighton- Grove- Pymosa- Washington Twp/Marne,0,0,0
,Enda- Victoria Twp,1,1,0
,Benton- Franklin Twp/Wiota,0,0,0
,Bear Grove- Cass Twp/Lewis,2,2,0
,Massena Twp/Massena City,1,1,0
,Atlantic 4,8,10,0.1200
,Grant- Lincoln Twp/Anita,9,9,0.1200
,Union Twp/Cumberland,2,2,0.1200
,Atlantic 1,21,23,0.2400
,Total,52,48,0.6000
Cedar,WEST BRANCH 1,65,65,0.6857
,CASS/CENTER/IOWA/ROCHESTER,26,29,0.5143
,FARMINGTON/SUGAR CREEK,9,0,0
,MASSILLON/SPRINGFIELD,13,13,0.1714
,LINN/PIONEER,13,13,0.1714
,GOWER/SPRINGDALE,23,23,0.1714
,FREMONT/RED OAK,7,8,0.1714
,DAYTON/FAIRFIELD,9,13,0.1714
,TIPTON 3,11,14,0.1714
,TIPTON 2,14,14,0.1714
,Total,190,192,2.3998
Cerro Gordo,Clear Lake - Grant - Union,13,15,0.1771
,Mason City W-1 P-1,21,21,0.3543
,Mason City W-3 P-1,34,45,0.7086
,Mason City W-4 P-2,18,19,0.5314
,Mason City W-3 P-3,27,35,0.5314
,Clear Lake - Ward 2,26,27,0.3543
,Clear Lake - Ward 1,13,15,0.1771
,Geneseo Twp Pct,7,10,0.3543
,Mason City W-3 P-2,23,26,0.5314
,Mason City W-4 P-3,20,22,0.3543
,Clear Lake - Ward 3,25,28,0.5314
,Mason City W-1 P-2,21,26,0.3543
,Grimes - Thornton Pct,0,0,0
,Mason City W-2 P-2,13,0,0
,Mason City W-1 P-3,16,12,0
,Portland - Owen - Dougherty,5,0,0
,Lime Creek / Mason N Twps,5,0,0
,Lake / Lincoln Twps Pct,4,1,0
,Mt Vernon - Pl Valley Twps,3,0,0
,Total,294,302,4.9599
Cherokee,#1 Aurelia,19,21,0.4364
,#3 Quimby,4,4,0.1091
,#5 Cherokee Ward 1,8,0,0
,Total,31,25,0.5455
Chickasaw,New Hampton Rural,3,3,0.0700
,Washington 1 Township,3,3,0.0700
,Jacksonville-Utica,3,3,0.0700
,Chickasaw,5,5,0.0700
,Bradford,1,1,0
,Dresden-Fredericksburg,5,0,0
,Stapleton,0,0,0
,Deerfield-Washington 2,0,0,0
,City of New Hampton Ward One,3,0,0
,City of New Hampton Ward Two,4,4,0.1400
,Total,27,19,0.4200
Clarke,Woodburn Precinct,3,3,0.0800
,Middle Precinct,3,4,0.0800
,Osceola 1st Ward Precinct,12,13,0.2400
,North East Precinct,8,8,0.1600
,Osceola 3rd Ward Precinct,16,18,0.1600
,Osceola 2nd Ward Precinct,10,12,0.1600
,Total,52,58,0.8800
Clay,Spencer Ward 3,24,25,0.3765
,Spencer Ward 5,15,15,0.2824
,Spencer Ward 4,11,15,0.1882
,Lincoln-Clay,3,3,0.0941
,Spencer Ward 1,18,19,0.2824
,Spencer Ward 2,18,19,0.2824
,Garfield-Herdland,2,0,0
,Logan-Gillett Grove,0,0,0
,Summit-Riverton-Sioux-Meadow,5,0,0
,Total,96,96,1.5060
Clayton,BUENA VISTA,1,1,0
,COX CREEK-SPERRY,1,0,0
,READ,0,0,0
,LODOMILLO,1,1,0
,BOARDMAN-HIGHLAND,27,31,0.3333
,MENDON,15,19,0.3333
,JEFFERSON-MILLVILLE,18,19,0.3333
,CASS,13,13,0.1667
,ELK-MALLORY-VOLGA,7,9,0.1667
,GIARD-LUANA-MONONA,11,11,0.1667
,FARMERSBURG-WAGNER,4,6,0.1667
,Total,98,110,1.6667
Clinton,ORANGE GRAND MOUND,7,9,0.2214
,SPRING ROCK WHEATLAND,9,10,0.2214
,CLINTON 4-2,33,43,0.8857
,CLINTON 3-2,30,33,0.6643
,WELTON WASHINGTON WELTON,5,7,0.2214
,CLINTON 1-2,27,30,0.6643
,CENTER TWP,5,9,0.2214
,CLINTON 2-2,38,41,0.6643
,CLINTON 3-1,45,49,0.6643
,LIBERTY TORONTO,4,4,0
,WATERFORD CHARLOTTE,4,4,0
,SHARON LOST NATION,4,0,0
,LOW MOOR,2,2,0
,EDEN CAMANCHE TWP,8,8,0
,OLIVE GRANT CALAMUS,4,4,0
,DEEP CREEK GOOSE LAKE,1,0,0
,BLOOMFIELD BROOKFIELD DEL,3,3,0
,CLINTON 1-1,19,21,0.4429
,CLINTON 4-1,29,31,0.4429
,CAMANCHE 2,10,15,0.4429
,CLINTON 2-1,26,20,0.4429
,DEWITT 1,17,17,0.4429
,CAMANCHE 1,12,15,0.4429
,DEWITT 2,25,30,0.4429
,Total,367,405,7.5288
Crawford,SRK,3,0,0
,Southeast,2,0,0
,Denison Ward 1,32,33,0.3000
,Denison Ward 3-Goodrich Twp,21,21,0.4500
,Northeast,4,6,0.1500
,Total,62,60,0.9000
Dallas,WEST DES MOINES 221,76,80,0.8286
,WEST DES MOINES 225,56,65,0.8286
,WEST DES MOINES 223,11,0,0
,CLIVE 5,34,0,0
,DESOTO,9,9,0
,WAUKEE 4,28,0,0
,SPRING VALLEY / DALLAS,7,7,0
,UNION,11,0,0
,WEST DES MOINES 224,6,6,0
,PERRY 2,11,0,0
,URBANDALE 15,19,0,0
,LINCOLN /WASHINGTON /LINN,1,1,0
,URBANDALE 14,0,0,0
,WAUKEE 5,24,24,0
,ADEL 1,14,0,0
,ADAMS,11,0,0
,BEAVER / DES MOINES,15,22,0.4143
,URBANDALE 13,54,58,0.4143
,ADEL 2,31,32,0.4143
,WEST DES MOINES 222,55,55,0.4143
,CLIVE 6,41,47,0.4143
,WAUKEE 1,48,48,0.4143
,WEST DES MOINES 226,52,55,0.4143
,WEST DES MOINES 321,34,42,0.4143
,PERRY 1,37,41,0.4143
,VAN METER,22,27,0.4143
,WAUKEE 6,43,49,0.4143
,WAUKEE 3,46,49,0.4143
,WAUKEE 2,52,57,0.4143
,Total,848,774,7.0431
Davis,Bloomfield Ward 1,4,0,0
,Bloomfield Ward 2,1,0,0
,Central,3,0,0
,Southwest,1,0,0
,Northwest,4,3,0
,Southeast,4,6,0.1200
,Northeast,7,7,0.1200
,Total,24,16,0.2400
Decatur,GG/HP/WE/Garden Grove/LeRoy,2,2,0.0471
,BL/FA/Lamoni,47,54,0.4235
,FR/LC/Van Wert/Weldon,6,8,0.1882
,GR/RL/Grand River,3,3,0.0471
,BU/HA/MO/NB/Davis City/Pleasanton,1,2,0.0471
,Total,59,69,0.7530
Delaware,South Fork/Union,5,0,0
,Delaware,1,0,0
,Delhi/Delaware Corp,1,1,0
,Oneida/N Fork/Bremen,5,0,0
,Manchester Ward 2,4,0,0
,Manchester Ward 3,0,0,0
,Milo/Prairie,6,0,0
,Colony,1,0,0
,Manchester Ward 1,10,10,0.2250
,Adams/Hazel Green,4,7,0.1500
,Total,37,18,0.3750
Des Moines,PCT PW,7,8,0
,PCT HJ,2,0,0
,PCT MY,10,0,0
,PCT FM,16,17,0.3600
,PCT 9,26,26,0.3600
,PCT 6,28,33,0.3600
,PCT UNION,6,8,0.3600
,PCT WB,30,31,0.7200
,PCT 8,30,35,0.7200
,PCT 2,30,35,0.7200
,PCT 7,49,50,0.7200
,PCT 4,22,23,0.7200
,Total,256,266,5.0400
Dickinson,Precinct No. 14,8,8,0.1250
,Precinct No. 04,4,4,0.1250
,Precinct No. 12,6,7,0.1250
,Precinct No. 03,8,8,0.1250
,Precinct No. 02,7,0,0
,Precinct No. 06,0,0,0
,Precinct No. 09,2,2,0
,Precinct No. 07,1,1,0
,Precinct No. 08,24,24,0.5000
,Precinct No. 11,9,17,0.2500
,Precinct No. 13,13,17,0.2500
,Precinct No. 01,8,9,0.2500
,Total,90,97,1.7500
Dubuque,Dubuque_10,47,62,1.0667
,Dubuque_01,34,0,0
,Dubuque_33,11,0,0
,Dubuque_04,41,42,0.8000
,Dubuque_19,74,79,0.8000
,Dubuque_11,45,45,0.8000
,Dubuque_09a,78,92,0.8000
,Dubuque_32,35,35,0.5333
,Dubuque_16,54,57,0.5333
,Dubuque_05,36,37,0.5333
,Dubuque_12,28,28,0.5333
,Dubuque_06,38,40,0.5333
,Dubuque_08,22,30,0.5333
,Dubuque_43,23,23,0.5333
,Dubuque_17,45,46,0.5333
,Dubuque_18,67,75,0.5333
,Dubuque_13,31,31,0.5333
,Dubuque_41,8,14,0.2667
,Dubuque_35,9,11,0.2667
,Dubuque_37,8,10,0.2667
,Dubuque_42,18,19,0.2667
,Dubuque_44,2,2,0.2667
,Total,754,778,10.9332
Emmet,Estherville Ward 3,17,19,0.3429
,HL-TM-Wallingford,3,2,0
,EL-LN-Dolliver,0,0,0
,Estherville Ward 2,2,0,0
,AG-IL-Armstrong,6,6,0.1143
,Estherville Ward 5,9,9,0.1143
,Estherville Ward 4,16,16,0.1143
,Estherville Ward 1,5,6,0.1143
,Total,58,58,0.8001
Fayette,FAIRFIELD-PUTNAM TWP,1,0,0
,ILLYRIA TWP,2,0,0
,BANKS-FREMONT TWP,0,0,0
,DOVER TWP,0,0,0
,WEST UNION - WARD 1,2,0,0
,HARLAN TWP,0,0,0
,ORAN TWP,0,0,0
,JEFFERSON TWP,4,0,0
,FAIRBANK INC,2,0,0
,WEST UNION - WARD 3,7,7,0.1200
,SCOTT TWP,2,5,0.1200
,WEST UNION - WARD 2,4,5,0.1200
,EDEN TWP,8,9,0.1200
,PLEASANT VALLEY TWP,7,8,0.1200
,CLERMONT TWP,5,7,0.1200
,OELWEIN - WARD 2,6,7,0.2400
,WESTFIELD TWP,15,17,0.2400
,OELWEIN - WARD 3,10,10,0.2400
,OELWEIN - WARD 4,15,18,0.2400
,Total,90,93,1.6800
Floyd,Floyd-Cedar-Niles,11,11,0.2222
,St Charles-Riverton,4,0,0
,Scott-Union-Pleasant Grove,2,0,0
,Charles City Corp/CC2,20,21,0.3333
,Rock Grove-Rudd,9,15,0.3333
,Charles City Corp/CC1,18,18,0.3333
,Charles City Corp/CC3,14,16,0.3333
,Total,78,81,1.5554
Franklin,RICHLAND/ ROSS/ WEST FORK,7,11,0.2778
,OAKLAND/ MORGAN,5,7,0.1111
,MARION,3,3,0.0556
,WEST MOTT TOWNSHIP,3,5,0.0556
,HAMILTON/ LEE/ REEVE,7,10,0.1111
,HAMPTON 2,7,7,0.1111
,GRANT/ OSCEOLA,1,1,0.0556
,GENEVA/ INGHAM/ EAST MOTT,1,0,0
,HAMPTON 1,1,0,0
,HAMPTON 3,16,16,0.3333
,HAMPTON 4,12,12,0.1667
,Total,63,72,1.2779
Fremont,Farragut,3,6,0.0750
,Riverton,0,0,0
,Sidney,19,24,0.3000
,Green Riverside Scott,9,9,0.2250
,Total,31,39,0.6000
Greene,West Precinct,5,6,0.1200
,Central Precinct,10,10,0.1200
,North Precinct,8,13,0.2400
,Jefferson 1 Precinct,12,12,0.2400
,Jefferson 2 Precinct,16,18,0.3600
,East Precinct,17,17,0.3600
,Jefferson 3 Precinct,14,18,0.3600
,Total,82,94,1.8000
Grundy,PRECINCT 3,1,0,0
,PRECINCT 1,6,8,0.2000
,PRECINCT 6,12,15,0.2000
,PRECINCT 2,11,14,0.1000
,PRECINCT 4,7,7,0.1000
,Total,37,44,0.6000
Guthrie,Black,5,5,0.0857
,Red,7,7,0.0857
,Purple,12,0,0
,Blue,4,0,0
,Brown,1,0,0
,Green,4,7,0.1714
,Total,33,19,0.3428
Hamilton,PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,0,0,0
,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,3,0,0
,PCT 4 LYON ELLSWORTH,26,26,0.4000
,Webster City 3,8,13,0.3000
,Webster City 2,18,19,0.3000
,Webster City 1,18,18,0.2000
,PCT 3 CLEAR LAKE HAMILTON MARION WEBSTER,13,14,0.2000
,PCT 5 LINCOLN ROSE GROVE SCOTT,5,5,0.1000
,Total,91,95,1.5000
Hancock,Precinct 04,4,0,0
,Precinct 02,1,0,0
,Precinct 08,0,0,0
,Precinct 03,1,0,0
,Precinct 06,20,20,0.4000
,Precinct 10,1,2,0.1000
,Precinct 07,8,8,0.1000
,Precinct 09,4,4,0.1000
,Precinct 01,8,10,0.1000
,Total,47,44,0.8000
Hardin,Eldora City,13,13,0.2160
,Alden/Buckeye,10,10,0.2160
,Etna/Clay,11,11,0.2160
,Iowa Falls #1,13,18,0.2160
,Concord/Sherman/Grant/Tip,11,12,0.2160
,Eldora/Pleasant/Prov/Unio,4,4,0
,Hardin/Ellis/Jackson,7,0,0
,Total,69,68,1.0800
Harrison,Precinct #08-Modale,4,4,0.1867
,Precinct #01-Little Sioux,2,3,0.0933
,Precinct #06-Boyer/Lincoln,2,8,0.0933
,Precinct #05-Magnolia,6,6,0.0933
,Precinct #13-Persia,8,8,0.0933
,Precinct #03-Dunlap,15,17,0.1867
