County,Precinct,First Expression,Final Expression,SDE
,Eden,7,12,0.1100
,Ewoldt,7,8,0.2200
,Pleasant Valley-Newton,5,5,0.1100
,Sheridan-Grant-Jasper,6,10,0.2200
,Total,113,146,2.6400
Cass,Atlantic 3,6,6,0.1200
,Noble- Pleasant Twp/Griswold,7,7,0.1200
,Brighton- Grove- Pymosa- Washington Twp/Marne,6,6,0.1200
,Enda- Victoria Twp,3,3,0.1200
,Benton- Franklin Twp/Wiota,3,5,0.1200
,Bear Grove- Cass Twp/Lewis,5,0,0
,Massena Twp/Massena City,0,0,0
,Atlantic 4,11,18,0.3600
,Grant- Lincoln Twp/Anita,18,18,0.3600
,Union Twp/Cumberland,2,2,0
,Atlantic 1,7,9,0.1200
,Total,68,74,1.4400
Cedar,WEST BRANCH 1,58,58,0.6857
,CASS/CENTER/IOWA/ROCHESTER,9,0,0
,FARMINGTON/SUGAR CREEK,25,28,0.6857
,MASSILLON/SPRINGFIELD,9,9,0.1714
,LINN/PIONEER,16,16,0.3429
,GOWER/SPRINGDALE,26,27,0.3429
,FREMONT/RED OAK,2,0,0
,DAYTON/FAIRFIELD,15,16,0.3429
,TIPTON 3,12,13,0.1714
,TIPTON 2,19,23,0.1714
,Total,191,190,2.9143
Cerro Gordo,Clear Lake - Grant - Union,21,27,0.3543
,Mason City W-1 P-1,18,19,0.3543
,Mason City W-3 P-1,28,31,0.5314
,Mason City W-4 P-2,10,12,0.3543
,Mason City W-3 P-3,32,35,0.7086
,Clear Lake - Ward 2,39,49,0.7086
,Clear Lake - Ward 1,22,27,0.5314
,Geneseo Twp Pct,10,15,0.3543
,Mason City W-3 P-2,10,18,0.3543
,Mason City W-4 P-3,18,19,0.3543
,Clear Lake - Ward 3,18,19,0.3543
,Mason City W-1 P-2,24,37,0.7086
,Grimes - Thornton Pct,0,0,0
,Mason City W-2 P-2,48,54,0.7086
,Mason City W-1 P-3,51,57,0.8857
,Portland - Owen - Dougherty,6,8,0.1771
,Lime Creek / Mason N Twps,11,17,0.1771
,Lake / Lincoln Twps Pct,8,9,0.1771
,Mt Vernon - Pl Valley Twps,3,8,0.1771
,Total,377,461,7.9714
Cherokee,#1 Aurelia,2,0,0
,#3 Quimby,6,6,0.1091
,#5 Cherokee Ward 1,12,15,0.3273
,Total,20,21,0.4364
Chickasaw,New Hampton Rural,5,7,0.1400
,Washington 1 Township,7,8,0.0700
,Jacksonville-Utica,3,4,0.0700
,Chickasaw,4,7,0.1400
