County,Precinct,First Expression,Final Expression,SDE
,Brighton- Grove- Pymosa- Washington Twp/Marne,2,4,0.1200
,Enda- Victoria Twp,0,0,0
,Benton- Franklin Twp/Wiota,3,0,0
,Bear Grove- Cass Twp/Lewis,6,11,0.1200
,Massena Twp/Massena City,2,2,0.1200
,Atlantic 4,3,0,0
,Grant- Lincoln Twp/Anita,8,8,0.1200
,Union Twp/Cumberland,0,0,0
,Atlantic 1,3,0,0
,Total,42,42,0.7200
Cedar,WEST BRANCH 1,45,45,0.5143
,CASS/CENTER/IOWA/ROCHESTER,20,28,0.5143
,FARMINGTON/SUGAR CREEK,10,15,0.3429
,MASSILLON/SPRINGFIELD,0,0,0
,LINN/PIONEER,14,14,0.1714
,GOWER/SPRINGDALE,13,17,0.1714
,FREMONT/RED OAK,1,0,0
,DAYTON/FAIRFIELD,8,13,0.1714
,TIPTON 3,7,10,0.1714
,TIPTON 2,5,0,0
,Total,123,142,2.0571
Cerro Gordo,Clear Lake - Grant - Union,19,21,0.3543
,Mason City W-1 P-1,21,32,0.5314
,Mason City W-3 P-1,19,22,0.3543
,Mason City W-4 P-2,13,16,0.5314
,Mason City W-3 P-3,37,49,0.8857
,Clear Lake - Ward 2,30,36,0.5314
,Clear Lake - Ward 1,23,27,0.5314
,Geneseo Twp Pct,3,0,0
,Mason City W-3 P-2,10,1,0
,Mason City W-4 P-3,22,25,0.5314
,Clear Lake - Ward 3,18,23,0.3543
,Mason City W-1 P-2,17,20,0.3543
,Grimes - Thornton Pct,2,2,0
,Mason City W-2 P-2,43,47,0.7086
,Mason City W-1 P-3,51,53,0.7086
,Portland - Owen - Dougherty,3,0,0
,Lime Creek / Mason N Twps,4,9,0.1771
,Lake / Lincoln Twps Pct,0,0,0
,Mt Vernon - Pl Valley Twps,4,4,0.1771
,Total,339,387,6.7313
Cherokee,#1 Aurelia,4,0,0
,#3 Quimby,0,0,0
,#5 Cherokee Ward 1,13,13,0.2182
,Total,17,13,0.2182
Chickasaw,New Hampton Rural,4,4,0.0700
,Washington 1 Township,0,0,0
,Jacksonville-Utica,2,2,0.0700
,Chickasaw,0,0,0
,Bradford,11,12,0.2800
,Dresden-Fredericksburg,8,11,0.2100
,Stapleton,0,0,0
,Deerfield-Washington 2,4,4,0.0700
,City of New Hampton Ward One,4,0,0
,City of New Hampton Ward Two,0,0,0
,Total,33,33,0.7000
Clarke,Woodburn Precinct,3,5,0.0800
,Middle Precinct,5,5,0.1600
,Osceola 1st Ward Precinct,0,0,0
,North East Precinct,6,6,0.0800
,Osceola 3rd Ward Precinct,13,24,0.2400
,Osceola 2nd Ward Precinct,6,8,0.1600
,Total,33,48,0.7200
Clay,Spencer Ward 3,14,20,0.2824
,Spencer Ward 5,18,21,0.3765
,Spencer Ward 4,23,31,0.3765
,Lincoln-Clay,2,3,0.0941
,Spencer Ward 1,5,0,0
,Spencer Ward 2,8,0,0
,Garfield-Herdland,4,6,0.0941
,Logan-Gillett Grove,0,0,0
,Summit-Riverton-Sioux-Meadow,6,7,0.0941
,Total,80,88,1.3177
Clayton,BUENA VISTA,0,0,0
,COX CREEK-SPERRY,5,10,0.1667
,READ,0,0,0
,LODOMILLO,6,6,0.1667
,BOARDMAN-HIGHLAND,24,28,0.3333
,MENDON,14,17,0.3333
,JEFFERSON-MILLVILLE,24,29,0.5000
,CASS,10,10,0.1667
,ELK-MALLORY-VOLGA,6,14,0.1667
,GIARD-LUANA-MONONA,10,13,0.1667
,FARMERSBURG-WAGNER,2,0,0
,Total,101,127,2.0001
Clinton,ORANGE GRAND MOUND,0,0,0
,SPRING ROCK WHEATLAND,3,0,0
,CLINTON 4-2,3,0,0
,CLINTON 3-2,13,0,0
,WELTON WASHINGTON WELTON,4,0,0
,CLINTON 1-2,4,0,0
,CENTER TWP,2,0,0
,CLINTON 2-2,13,0,0
,CLINTON 3-1,25,38,0.6643
,LIBERTY TORONTO,1,1,0.2214
,WATERFORD CHARLOTTE,3,0,0
,SHARON LOST NATION,2,0,0
,LOW MOOR,0,0,0
,EDEN CAMANCHE TWP,4,4,0.2214
,OLIVE GRANT CALAMUS,7,3,0
,DEEP CREEK GOOSE LAKE,0,0,0
,BLOOMFIELD BROOKFIELD DEL,2,2,0
,CLINTON 1-1,3,0,0
,CLINTON 4-1,22,25,0.4429
,CAMANCHE 2,3,0,0
,CLINTON 2-1,9,15,0.2214
,DEWITT 1,15,16,0.2214
,CAMANCHE 1,11,14,0.4429
,DEWITT 2,25,34,0.4429
,Total,174,152,2.8786
Crawford,SRK,4,4,0.1500
,Southeast,6,8,0.1500
,Denison Ward 1,6,0,0
,Denison Ward 3-Goodrich Twp,0,0,0
,Northeast,2,4,0.1500
,Total,18,16,0.4500
Dallas,WEST DES MOINES 221,51,0,0
,WEST DES MOINES 225,28,0,0
,WEST DES MOINES 223,24,26,0.4143
,CLIVE 5,27,0,0
,DESOTO,5,5,0
,WAUKEE 4,40,48,0.4143
,SPRING VALLEY / DALLAS,4,4,0
,UNION,15,25,0.4143
,WEST DES MOINES 224,2,2,0
,PERRY 2,11,0,0
,URBANDALE 15,31,49,0.4143
,LINCOLN /WASHINGTON /LINN,4,4,0
,URBANDALE 14,39,39,0.4143
,WAUKEE 5,14,14,0
,ADEL 1,11,0,0
,ADAMS,13,31,0.4143
,BEAVER / DES MOINES,20,28,0.4143
,URBANDALE 13,51,57,0.4143
,ADEL 2,29,0,0
,WEST DES MOINES 222,39,39,0.4143
,CLIVE 6,22,0,0
,WAUKEE 1,35,35,0.4143
,WEST DES MOINES 226,23,29,0.4143
,WEST DES MOINES 321,46,71,0.8286
,PERRY 1,5,0,0
,VAN METER,27,35,0.4143
,WAUKEE 6,18,0,0
,WAUKEE 3,0,0,0
,WAUKEE 2,26,0,0
,Total,660,541,5.8002
Davis,Bloomfield Ward 1,4,0,0
,Bloomfield Ward 2,3,6,0.1200
,Central,10,10,0.1200
,Southwest,1,0,0
,Northwest,2,0,0
,Southeast,0,0,0
,Northeast,4,5,0.0600
,Total,24,21,0.3000
Decatur,GG/HP/WE/Garden Grove/LeRoy,0,0,0
,BL/FA/Lamoni,42,61,0.4706
,FR/LC/Van Wert/Weldon,1,0,0
,GR/RL/Grand River,0,0,0
,BU/HA/MO/NB/Davis City/Pleasanton,2,2,0.0471
,Total,45,63,0.5177
Delaware,South Fork/Union,8,9,0.1500
,Delaware,7,9,0.1500
,Delhi/Delaware Corp,9,10,0.2250
,Oneida/N Fork/Bremen,10,16,0.3750
,Manchester Ward 2,9,13,0.2250
,Manchester Ward 3,9,9,0.2250
,Milo/Prairie,11,11,0.3000
,Colony,0,0,0
,Manchester Ward 1,7,7,0.1500
,Adams/Hazel Green,1,0,0
,Total,71,84,1.8000
Des Moines,PCT PW,2,0,0
,PCT HJ,0,0,0
,PCT MY,8,15,0.3600
,PCT FM,9,0,0
,PCT 9,11,0,0
,PCT 6,1,0,0
,PCT UNION,3,0,0
,PCT WB,1,0,0
,PCT 8,10,0,0
,PCT 2,10,0,0
,PCT 7,19,0,0
,PCT 4,2,0,0
,Total,76,15,0.3600
Dickinson,Precinct No. 14,5,0,0
,Precinct No. 04,2,7,0.1250
,Precinct No. 12,7,7,0.1250
,Precinct No. 03,10,10,0.1250
,Precinct No. 02,9,11,0.1250
,Precinct No. 06,3,4,0.1250
,Precinct No. 09,0,0,0
,Precinct No. 07,6,6,0.1250
,Precinct No. 08,16,16,0.2500
,Precinct No. 11,17,18,0.2500
,Precinct No. 13,4,0,0
,Precinct No. 01,3,6,0.1250
,Total,82,85,1.3750
Dubuque,Dubuque_10,24,0,0
,Dubuque_01,44,44,0.5333
,Dubuque_33,6,0,0
,Dubuque_04,18,0,0
,Dubuque_19,24,0,0
,Dubuque_11,0,0,0
,Dubuque_09a,17,0,0
,Dubuque_32,33,33,0.5333
,Dubuque_16,0,0,0
,Dubuque_05,27,0,0
,Dubuque_12,11,0,0
,Dubuque_06,21,30,0.2667
,Dubuque_08,18,24,0.2667
,Dubuque_43,20,20,0
,Dubuque_17,11,18,0.2667
,Dubuque_18,9,0,0
,Dubuque_13,8,0,0
,Dubuque_41,16,18,0.2667
,Dubuque_35,12,21,0.5333
,Dubuque_37,0,0,0
,Dubuque_42,18,18,0.2667
,Dubuque_44,3,3,0
,Total,340,229,2.9334
Emmet,Estherville Ward 3,6,0,0
,HL-TM-Wallingford,2,0,0
,EL-LN-Dolliver,0,0,0
,Estherville Ward 2,3,0,0
,AG-IL-Armstrong,6,6,0.1143
,Estherville Ward 5,1,0,0
,Estherville Ward 4,6,6,0.1143
,Estherville Ward 1,9,9,0.1143
,Total,33,21,0.3429
Fayette,FAIRFIELD-PUTNAM TWP,3,3,0.1200
,ILLYRIA TWP,4,7,0.1200
,BANKS-FREMONT TWP,2,0,0
,DOVER TWP,3,0,0
,WEST UNION - WARD 1,7,7,0.1200
,HARLAN TWP,0,0,0
,ORAN TWP,2,0,0
,JEFFERSON TWP,2,0,0
,FAIRBANK INC,3,0,0
,WEST UNION - WARD 3,0,0,0
,SCOTT TWP,0,0,0
,WEST UNION - WARD 2,4,0,0
,EDEN TWP,0,0,0
,PLEASANT VALLEY TWP,14,17,0.2400
,CLERMONT TWP,5,6,0.1200
,OELWEIN - WARD 2,0,0,0
,WESTFIELD TWP,11,17,0.2400
,OELWEIN - WARD 3,4,0,0
,OELWEIN - WARD 4,13,17,0.2400
,Total,77,74,1.2000
Floyd,Floyd-Cedar-Niles,18,21,0.3333
,St Charles-Riverton,18,20,0.2222
,Scott-Union-Pleasant Grove,5,6,0.1111
,Charles City Corp/CC2,18,18,0.3333
,Rock Grove-Rudd,20,27,0.4444
,Charles City Corp/CC1,20,20,0.3333
,Charles City Corp/CC3,18,20,0.3333
,Total,117,132,2.1109
Franklin,RICHLAND/ ROSS/ WEST FORK,12,18,0.3889
,OAKLAND/ MORGAN,5,8,0.1667
,MARION,0,0,0
,WEST MOTT TOWNSHIP,2,0,0
,HAMILTON/ LEE/ REEVE,3,0,0
,HAMPTON 2,8,9,0.1111
,GRANT/ OSCEOLA,2,2,0.0556
,GENEVA/ INGHAM/ EAST MOTT,0,0,0
,HAMPTON 1,1,0,0
,HAMPTON 3,0,0,0
,HAMPTON 4,2,0,0
,Total,35,37,0.7223
Fremont,Farragut,10,11,0.1500
,Riverton,0,0,0
,Sidney,15,17,0.2250
,Green Riverside Scott,10,11,0.2250
,Total,35,39,0.6000
Greene,West Precinct,5,10,0.1200
,Central Precinct,10,11,0.1200
,North Precinct,11,11,0.1200
,Jefferson 1 Precinct,12,12,0.2400
,Jefferson 2 Precinct,7,12,0.2400
,East Precinct,1,0,0
,Jefferson 3 Precinct,16,20,0.3600
,Total,62,76,1.2000
Grundy,PRECINCT 3,3,4,0.1000
,PRECINCT 1,7,8,0.2000
,PRECINCT 6,16,18,0.3000
,PRECINCT 2,1,0,0
,PRECINCT 4,0,0,0
,Total,27,30,0.6000
Guthrie,Black,0,0,0
,Red,0,0,0
,Purple,25,25,0.4286
,Blue,34,44,0.6000
,Brown,7,8,0.1714
,Green,3,0,0
,Total,69,77,1.2000
Hamilton,PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,8,10,0.2000
,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,2,0,0
,PCT 4 LYON ELLSWORTH,14,14,0.2000
,Webster City 3,6,11,0.2000
,Webster City 2,17,19,0.3000
,Webster City 1,20,20,0.3000
,PCT 3 CLEAR LAKE HAMILTON MARION WEBSTER,8,0,0
,PCT 5 LINCOLN ROSE GROVE SCOTT,2,0,0
,Total,77,74,1.2000
Hancock,Precinct 04,12,14,0.3000
,Precinct 02,0,0,0
,Precinct 08,0,0,0
,Precinct 03,0,0,0
,Precinct 06,20,25,0.5000
,Precinct 10,0,0,0
,Precinct 07,4,4,0.1000
,Precinct 09,8,8,0.1000
,Precinct 01,17,19,0.2000
,Total,61,70,1.2000
Hardin,Eldora City,14,14,0.2160
,Alden/Buckeye,6,6,0.1440
,Etna/Clay,10,10,0.2160
,Iowa Falls #1,9,0,0
,Concord/Sherman/Grant/Tip,12,14,0.2160
,Eldora/Pleasant/Prov/Unio,8,12,0.3600
,Hardin/Ellis/Jackson,19,19,0.2880
,Total,78,75,1.4400
Harrison,Precinct #08-Modale,0,0,0
,Precinct #01-Little Sioux,3,3,0.0933
,Precinct #06-Boyer/Lincoln,5,6,0.0933
,Precinct #05-Magnolia,6,9,0.1867
,Precinct #13-Persia,0,0,0
,Precinct #03-Dunlap,15,15,0.1867
,Precinct #11 - St. John,9,9,0.0933
,Precinct #02-Pisgah,4,4,0.0933
,Precinct #10 - Logan,2,0,0
,Precinct #04-Mondamin,0,0,0
,Total,44,46,0.7466
Henry,Southwest Precinct,3,9,0.1333
,Mt. Pleasant Ward 1,4,0,0
,Northeast Precinct,0,0,0
,Northwest Precinct,5,0,0
,Mt. Pleasant Ward 2,0,0,0
,Central Precinct,24,29,0.4000
,Mt. Pleasant Ward 3,10,13,0.2000
,Total,46,51,0.7333
Howard,Albion/Forest City,0,0,0
,Cresco 2,8,0,0
,Afton/Howard/Paris,0,0,0
,Jamestown/Oakdale,4,0,0
,Cresco 3,11,11,0.1429
,Saratoga/Howard Ctr/Chest,1,0,0
,New Oregon,6,10,0.2857
,Vernon Springs,5,5,0.1429
,Total,35,26,0.5715
Humboldt,Humboldt 2-Beaver-South Norway,14,16,0.1778
,Dakota City-Grove,1,0,0
,Delana-Wacousta-North Rutland,9,10,0.0889
,Humboldt 3-South Rutland,7,10,0.1778
,North Lake-East Vernon,0,0,0
,Humboldt 1-Corinth-South Weaver,13,15,0.2667
,South Lake-North Norway,0,0,0
,Total,44,51,0.7112
Ida,City of Holstein,12,15,0.1500
,Ida Grove Ward 1,1,0,0
,Ida Grove Ward 3,3,3,0.1500
,Ida Grove Ward 2,3,0,0
,City of Arthur,4,7,0.1500
,City of Battle Creek & Grant Township,2,0,0
,Total,25,25,0.4500
Iowa,English II,9,9,0.1000
,Honey Creek/Marengo Rural,0,0,0
,Dayton/English I,7,11,0.1000
,Lenox/Iowa,14,0,0
,Williamsburg,12,0,0
,Marengo City,7,0,0
,Fillmore/Greene,8,10,0.1000
,Hilton/Washington,6,0,0
